835: 2unique | 2count | 172sum
839: 1unique | 1count | 839sum
840: 4unique | 6count | 21sum
841: 1unique | 2count | 58sum
845: 2unique | 3count | 31sum
846: 3unique | 4count | 55sum
847: 2unique | 3count | 29sum
851: 2unique | 2count | 60sum
852: 3unique | 4count | 78sum
853: 1unique | 1count | 853sum
857: 1unique | 1count | 857sum
858: 4unique | 4count | 29sum
859: 1unique | 1count | 859sum
863: 1unique | 1count | 863sum
864: 2unique | 8count | 19sum
865: 2unique | 2count | 178sum
869: 2unique | 2count | 90sum
870: 4unique | 4count | 39sum
871: 2unique | 2count | 80sum
875: 2unique | 4count | 22sum
876: 3unique | 4count | 80sum
877: 1unique | 1count | 877sum
881: 1unique | 1count | 881sum
882: 3unique | 5count | 22sum
883: 1unique | 1count | 883sum
887: 1unique | 1count | 887sum
888: 3unique | 5count | 46sum
889: 2unique | 2count | 134sum
893: 2unique | 2count | 66sum
894: 3unique | 3count | 154sum
895: 2unique | 2count | 184sum
899: 2unique | 2count | 60sum
900: 3unique | 6count | 20sum
901: 2unique | 2count | 70sum
905: 2unique | 2count | 186sum
906: 3unique | 3count | 156sum
907: 1unique | 1count | 907sum
911: 1unique | 1count | 911sum
912: 3unique | 6count | 30sum
913: 2unique | 2count | 94sum
917: 2unique | 2count | 138sum
918: 3unique | 5count | 28sum
919: 1unique | 1count | 919sum
923: 2unique | 2count | 84sum
924: 4unique | 5count | 25sum
925: 2unique | 3count | 47sum
929: 1unique | 1count | 929sum
930: 4unique | 4count | 41sum
931: 2unique | 3count | 33sum
935: 3unique | 3count | 33sum
936: 3unique | 6count | 25sum
937: 1unique | 1count | 937sum
941: 1unique | 1count | 941sum
942: 3unique | 3count | 162sum
943: 2unique | 2count | 64sum
947: 1unique | 1count | 947sum
948: 3unique | 4count | 86sum
949: 2unique | 2count | 86sum
953: 1unique | 1count | 953sum
954: 3unique | 4count | 61sum
955: 2unique | 2count | 196sum
959: 2unique | 2count | 144sum
960: 3unique | 8count | 20sum
961: 1unique | 2count | 62sum
965: 2unique | 2count | 198sum
966: 4unique | 4count | 35sum
967: 1unique | 1count | 967sum
971: 1unique | 1count | 971sum
972: 2unique | 7count | 19sum
973: 2unique | 2count | 146sum
977: 1unique | 1count | 977sum
978: 3unique | 3count | 168sum
979: 2unique | 2count | 100sum
983: 1unique | 1count | 983sum
984: 3unique | 5count | 50sum
985: 2unique | 2count | 202sum
989: 2unique | 2count | 66sum
990: 4unique | 5count | 24sum
991: 1unique | 1count | 991sum
995: 2unique | 2count | 204sum
996: 3unique | 4count | 90sum
997: 1unique | 1count | 997sum
1001: 3unique | 3count | 31sum
1002: 3unique | 3count | 172sum
1003: 2unique | 2count | 76sum
1007: 2unique | 2count | 72sum
1008: 3unique | 7count | 21sum
1009: 1unique | 1count | 1009sum
