135870: 5unique | 5count | 664sum
135871: 2unique | 2count | 1720sum
135875: 2unique | 4count | 1102sum
135876: 4unique | 6count | 100sum
135877: 3unique | 4count | 120sum
135881: 2unique | 2count | 8010sum
135882: 3unique | 4count | 7557sum
135883: 2unique | 3count | 1145sum
135887: 1unique | 1count | 135887sum
135888: 4unique | 7count | 179sum
135889: 2unique | 2count | 10466sum
135893: 1unique | 1count | 135893sum
135894: 5unique | 5count | 116sum
135895: 2unique | 2count | 27184sum
135899: 1unique | 1count | 135899sum
135900: 4unique | 7count | 171sum
135901: 2unique | 2count | 3710sum
135905: 4unique | 4count | 376sum
135906: 3unique | 3count | 22656sum
135907: 3unique | 3count | 353sum
135911: 1unique | 1count | 135911sum
135912: 4unique | 6count | 825sum
135913: 1unique | 1count | 135913sum
135917: 2unique | 2count | 882sum
135918: 3unique | 6count | 853sum
135919: 2unique | 2count | 19424sum
135923: 3unique | 3count | 181sum
135924: 4unique | 5count | 295sum
135925: 2unique | 3count | 5447sum
135929: 1unique | 1count | 135929sum
135930: 5unique | 5count | 230sum
135931: 2unique | 2count | 932sum
135935: 3unique | 3count | 913sum
135936: 3unique | 11count | 81sum
135937: 1unique | 1count | 135937sum
135941: 2unique | 2count | 10470sum
135942: 4unique | 4count | 307sum
135943: 2unique | 2count | 2096sum
135947: 2unique | 2count | 19428sum
135948: 3unique | 4count | 11336sum
135949: 3unique | 3count | 755sum
135953: 2unique | 3count | 303sum
135954: 5unique | 6count | 111sum
135955: 2unique | 2count | 27196sum
135959: 2unique | 2count | 1800sum
135960: 5unique | 7count | 128sum
135961: 2unique | 2count | 19430sum
135965: 3unique | 3count | 459sum
135966: 5unique | 5count | 96sum
135967: 2unique | 2count | 10472sum
135971: 3unique | 3count | 321sum
135972: 3unique | 6count | 1272sum
135973: 2unique | 2count | 826sum
135977: 1unique | 1count | 135977sum
135978: 4unique | 4count | 309sum
135979: 1unique | 1count | 135979sum
135983: 3unique | 3count | 457sum
135984: 3unique | 6count | 2844sum
135985: 2unique | 2count | 27202sum
135989: 2unique | 2count | 19434sum
135990: 4unique | 5count | 1524sum
135991: 2unique | 2count | 808sum
135995: 3unique | 3count | 525sum
135996: 4unique | 5count | 1633sum
135997: 3unique | 3count | 179sum
136001: 2unique | 2count | 750sum
136002: 4unique | 4count | 1217sum
136003: 2unique | 2count | 19436sum
136007: 2unique | 2count | 768sum
136008: 3unique | 6count | 1901sum
136009: 2unique | 2count | 3206sum
136013: 1unique | 1count | 136013sum
136014: 3unique | 3count | 22674sum
136015: 3unique | 3count | 2489sum
136019: 2unique | 2count | 10476sum
136020: 4unique | 5count | 2279sum
136021: 2unique | 2count | 7178sum
136025: 2unique | 3count | 5451sum
136026: 4unique | 6count | 251sum
136027: 1unique | 1count | 136027sum
136031: 2unique | 2count | 19440sum
136032: 4unique | 8count | 135sum
136033: 1unique | 1count | 136033sum
136037: 3unique | 3count | 243sum
136038: 5unique | 5count | 132sum
136039: 2unique | 2count | 4720sum
136043: 1unique | 1count | 136043sum
136044: 3unique | 5count | 3789sum
136045: 4unique | 5count | 61sum
136049: 2unique | 2count | 3714sum
136050: 4unique | 5count | 922sum
136051: 3unique | 3count | 221sum
136055: 2unique | 2count | 27216sum
136056: 3unique | 5count | 5678sum
136057: 1unique | 1count | 136057sum
136061: 2unique | 2count | 738sum
136062: 3unique | 4count | 7567sum
136063: 2unique | 2count | 1424sum
136067: 1unique | 1count | 136067sum
136068: 5unique | 6count | 76sum
136069: 1unique | 1count | 136069sum
136073: 2unique | 3count | 2791sum
136074: 3unique | 3count | 22684sum
136075: 2unique | 3count | 5453sum
136079: 2unique | 2count | 3360sum
136080: 4unique | 11count | 35sum
136081: 3unique | 3count | 239sum
136085: 3unique | 3count | 1623sum
136086: 4unique | 4count | 655sum
136087: 2unique | 2count | 19448sum
136091: 3unique | 3count | 181sum
136092: 4unique | 5count | 1049sum
136093: 1unique | 1count | 136093sum
136097: 3unique | 4count | 80sum
136098: 3unique | 4count | 7569sum
136099: 1unique | 1count | 136099sum
136103: 2unique | 2count | 12384sum
136104: 4unique | 6count | 169sum
136105: 3unique | 3count | 335sum
136109: 2unique | 2count | 1170sum
136110: 5unique | 5count | 372sum
136111: 1unique | 1count | 136111sum
136115: 3unique | 3count | 3901sum
136116: 4unique | 6count | 228sum
136117: 2unique | 2count | 1802sum
136121: 2unique | 2count | 4422sum
136122: 4unique | 5count | 482sum
136123: 3unique | 3count | 333sum
136127: 2unique | 2count | 888sum
136128: 3unique | 8count | 724sum
136129: 2unique | 2count | 19454sum
136133: 1unique | 1count | 136133sum
136134: 3unique | 5count | 2532sum
136135: 3unique | 3count | 1457sum
136139: 1unique | 1count | 136139sum
136140: 4unique | 5count | 2281sum
136141: 2unique | 2count | 1358sum
136145: 3unique | 3count | 451sum
