76056: 3unique | 5count | 3178sum
76057: 2unique | 2count | 4022sum
76061: 2unique | 2count | 3330sum
76062: 4unique | 4count | 1823sum
76063: 2unique | 2count | 5864sum
76067: 3unique | 3count | 133sum
76068: 3unique | 5count | 2123sum
76069: 2unique | 2count | 10874sum
76073: 2unique | 2count | 726sum
76074: 4unique | 4count | 445sum
76075: 3unique | 4count | 206sum
76079: 1unique | 1count | 76079sum
76080: 4unique | 7count | 333sum
76081: 1unique | 1count | 76081sum
76085: 2unique | 2count | 15222sum
76086: 3unique | 5count | 1420sum
76087: 2unique | 2count | 6928sum
76091: 1unique | 1count | 76091sum
76092: 4unique | 5count | 397sum
76093: 2unique | 2count | 1666sum
76097: 2unique | 3count | 1567sum
76098: 4unique | 4count | 1169sum
76099: 1unique | 1count | 76099sum
76103: 1unique | 1count | 76103sum
76104: 4unique | 7count | 170sum
76105: 3unique | 3count | 527sum
76109: 3unique | 4count | 76sum
76110: 5unique | 5count | 112sum
76111: 3unique | 3count | 221sum
76115: 3unique | 3count | 1189sum
76116: 3unique | 4count | 6350sum
76117: 2unique | 2count | 842sum
76121: 2unique | 2count | 630sum
76122: 3unique | 4count | 4237sum
76123: 1unique | 1count | 76123sum
76127: 2unique | 2count | 552sum
76128: 4unique | 8count | 87sum
76129: 1unique | 1count | 76129sum
76133: 2unique | 2count | 4026sum
76134: 3unique | 3count | 12694sum
76135: 2unique | 2count | 15232sum
76139: 3unique | 3count | 229sum
76140: 4unique | 8count | 68sum
76141: 2unique | 2count | 5870sum
76145: 3unique | 3count | 259sum
76146: 4unique | 6count | 63sum
76147: 1unique | 1count | 76147sum
76151: 2unique | 2count | 552sum
76152: 4unique | 6count | 195sum
76153: 4unique | 4count | 84sum
76157: 1unique | 1count | 76157sum
76158: 3unique | 4count | 4239sum
76159: 1unique | 1count | 76159sum
76163: 1unique | 1count | 76163sum
76164: 4unique | 5count | 595sum
76165: 2unique | 2count | 15238sum
76169: 2unique | 2count | 1350sum
76170: 4unique | 4count | 2549sum
76171: 2unique | 3count | 249sum
76175: 3unique | 4count | 298sum
76176: 3unique | 8count | 60sum
76177: 2unique | 2count | 4498sum
76181: 2unique | 2count | 10890sum
76182: 3unique | 3count | 12702sum
76183: 3unique | 3count | 137sum
76187: 2unique | 2count | 1668sum
76188: 4unique | 5count | 921sum
76189: 2unique | 2count | 1310sum
76193: 2unique | 2count | 5874sum
76194: 4unique | 6count | 111sum
76195: 3unique | 4count | 330sum
76199: 2unique | 2count | 3336sum
76200: 4unique | 7count | 146sum
76201: 2unique | 2count | 602sum
76205: 2unique | 2count | 15246sum
76206: 4unique | 4count | 995sum
76207: 1unique | 1count | 76207sum
76211: 2unique | 2count | 4500sum
76212: 4unique | 6count | 112sum
76213: 1unique | 1count | 76213sum
76217: 2unique | 2count | 582sum
76218: 3unique | 3count | 12708sum
76219: 3unique | 4count | 78sum
76223: 2unique | 2count | 10896sum
76224: 3unique | 8count | 412sum
76225: 2unique | 3count | 3059sum
76229: 2unique | 2count | 2490sum
76230: 5unique | 7count | 42sum
76231: 1unique | 1count | 76231sum
76235: 3unique | 3count | 277sum
76236: 3unique | 4count | 6360sum
76237: 2unique | 2count | 10898sum
76241: 3unique | 3count | 279sum
76242: 4unique | 4count | 233sum
76243: 1unique | 1count | 76243sum
76247: 2unique | 2count | 4032sum
76248: 3unique | 7count | 368sum
76249: 1unique | 1count | 76249sum
76253: 1unique | 1count | 76253sum
76254: 4unique | 4count | 255sum
76255: 3unique | 3count | 257sum
76259: 1unique | 1count | 76259sum
76260: 5unique | 6count | 84sum
76261: 1unique | 1count | 76261sum
76265: 3unique | 3count | 2191sum
76266: 4unique | 5count | 250sum
76267: 2unique | 2count | 1492sum
76271: 2unique | 2count | 5880sum
76272: 4unique | 7count | 245sum
76273: 2unique | 2count | 946sum
76277: 2unique | 2count | 1002sum
76278: 3unique | 3count | 12718sum
76279: 3unique | 3count | 665sum
76283: 1unique | 1count | 76283sum
76284: 4unique | 6count | 186sum
76285: 4unique | 4count | 108sum
76289: 1unique | 1count | 76289sum
76290: 4unique | 4count | 2553sum
76291: 3unique | 3count | 161sum
76295: 2unique | 2count | 15264sum
76296: 4unique | 7count | 54sum
76297: 2unique | 2count | 5882sum
76301: 2unique | 2count | 1902sum
76302: 3unique | 7count | 174sum
76303: 1unique | 1count | 76303sum
76307: 3unique | 3count | 1009sum
76308: 3unique | 4count | 6366sum
76309: 2unique | 2count | 694sum
76313: 2unique | 3count | 151sum
76314: 5unique | 5count | 114sum
76315: 2unique | 2count | 15268sum
76319: 2unique | 2count | 624sum
76320: 4unique | 9count | 74sum
76321: 2unique | 2count | 10910sum
76325: 3unique | 4count | 124sum
76326: 3unique | 3count | 12726sum
76327: 2unique | 2count | 728sum
76331: 2unique | 2count | 2100sum
76332: 3unique | 4count | 6368sum
76333: 1unique | 1count | 76333sum
76337: 2unique | 2count | 3342sum
76338: 3unique | 4count | 4249sum
76339: 2unique | 2count | 884sum
76343: 1unique | 1count | 76343sum
76344: 3unique | 5count | 3190sum
76345: 2unique | 2count | 15274sum
76349: 3unique | 3count | 859sum
76350: 4unique | 5count | 524sum
76351: 2unique | 3count | 653sum
76355: 2unique | 2count | 15276sum
76356: 4unique | 7count | 121sum
76357: 2unique | 2count | 2662sum
76361: 2unique | 2count | 4038sum
76362: 5unique | 5count | 118sum
76363: 2unique | 2count | 10916sum
76367: 1unique | 1count | 76367sum
76368: 4unique | 7count | 91sum
76369: 1unique | 1count | 76369sum
76373: 3unique | 3count | 195sum
76374: 3unique | 4count | 4251sum
76375: 3unique | 5count | 75sum
76379: 1unique | 1count | 76379sum
76380: 5unique | 6count | 98sum
76381: 2unique | 2count | 4510sum
76385: 2unique | 2count | 15282sum
76386: 4unique | 4count | 473sum
76387: 1unique | 1count | 76387sum
76391: 2unique | 3count | 1573sum
76392: 3unique | 6count | 1073sum
76393: 2unique | 2count | 1046sum
76397: 2unique | 2count | 558sum
76398: 5unique | 5count | 136sum
76399: 2unique | 2count | 4040sum
76403: 1unique | 1count | 76403sum
76404: 3unique | 4count | 6374sum
76405: 4unique | 4count | 108sum
76409: 2unique | 2count | 810sum
76410: 4unique | 6count | 299sum
76411: 2unique | 2count | 1820sum
76415: 4unique | 4count | 82sum
76416: 3unique | 9count | 216sum
76417: 2unique | 2count | 6958sum
76421: 1unique | 1count | 76421sum
76422: 4unique | 4count | 323sum
76423: 1unique | 1count | 76423sum
76427: 2unique | 2count | 5892sum
76428: 4unique | 6count | 214sum
76429: 2unique | 2count | 3346sum
76433: 3unique | 3count | 247sum
76434: 3unique | 3count | 12744sum
76435: 2unique | 2count | 15292sum
76439: 2unique | 2count | 6960sum
76440: 5unique | 8count | 41sum
76441: 1unique | 1count | 76441sum
76445: 2unique | 2count | 15294sum
76446: 4unique | 5count | 176sum
76447: 3unique | 3count | 237sum
76451: 2unique | 2count | 948sum
76452: 4unique | 5count | 307sum
76453: 2unique | 2count | 5894sum
76457: 2unique | 2count | 858sum
76458: 3unique | 3count | 12748sum
76459: 2unique | 2count | 644sum
76463: 1unique | 1count | 76463sum
76464: 3unique | 9count | 79sum
76465: 3unique | 3count | 419sum
76469: 2unique | 2count | 1674sum
76470: 4unique | 4count | 2559sum
76471: 1unique | 1count | 76471sum
76475: 4unique | 5count | 59sum
76476: 3unique | 4count | 6380sum
76477: 2unique | 2count | 2498sum
76481: 1unique | 1count | 76481sum
76482: 4unique | 5count | 622sum
76483: 3unique | 3count | 437sum
76487: 1unique | 1count | 76487sum
76488: 3unique | 5count | 3196sum
76489: 2unique | 4count | 244sum
76493: 1unique | 1count | 76493sum
76494: 5unique | 5count | 96sum
76495: 2unique | 2count | 15304sum
76499: 2unique | 2count | 564sum
76500: 4unique | 8count | 42sum
76501: 2unique | 2count | 790sum
76505: 4unique | 4count | 136sum
76506: 4unique | 4count | 357sum
76507: 1unique | 1count | 76507sum
76511: 1unique | 1count | 76511sum
76512: 3unique | 7count | 810sum
76513: 2unique | 2count | 4046sum
76517: 3unique | 3count | 667sum
76518: 4unique | 6count | 133sum
76519: 1unique | 1count | 76519sum
76523: 2unique | 2count | 1356sum
76524: 4unique | 5count | 925sum
