871: 2count | 2sum
872: 2count | 4sum
873: 2count | 3sum
874: 3count | 3sum
875: 2count | 4sum
876: 3count | 4sum
877: 1count | 1sum
878: 2count | 2sum
879: 2count | 2sum
880: 3count | 6sum
881: 1count | 1sum
882: 3count | 5sum
883: 1count | 1sum
884: 3count | 4sum
885: 3count | 3sum
886: 2count | 2sum
887: 1count | 1sum
888: 3count | 5sum
889: 2count | 2sum
890: 3count | 3sum
891: 2count | 5sum
892: 2count | 3sum
893: 2count | 2sum
894: 3count | 3sum
895: 2count | 2sum
896: 2count | 8sum
897: 3count | 3sum
898: 2count | 2sum
899: 2count | 2sum
900: 3count | 6sum
901: 2count | 2sum
902: 3count | 3sum
903: 3count | 3sum
904: 2count | 4sum
905: 2count | 2sum
906: 3count | 3sum
907: 1count | 1sum
908: 2count | 3sum
909: 2count | 3sum
910: 4count | 4sum
911: 1count | 1sum
912: 3count | 6sum
913: 2count | 2sum
914: 2count | 2sum
915: 3count | 3sum
916: 2count | 3sum
917: 2count | 2sum
918: 3count | 5sum
919: 1count | 1sum
920: 3count | 5sum
921: 2count | 2sum
922: 2count | 2sum
923: 2count | 2sum
924: 4count | 5sum
925: 2count | 3sum
926: 2count | 2sum
927: 2count | 3sum
928: 2count | 6sum
929: 1count | 1sum
930: 4count | 4sum
931: 2count | 3sum
932: 2count | 3sum
933: 2count | 2sum
934: 2count | 2sum
935: 3count | 3sum
936: 3count | 6sum
937: 1count | 1sum
938: 3count | 3sum
939: 2count | 2sum
940: 3count | 4sum
941: 1count | 1sum
942: 3count | 3sum
943: 2count | 2sum
944: 2count | 5sum
945: 3count | 5sum
946: 3count | 3sum
947: 1count | 1sum
948: 3count | 4sum
949: 2count | 2sum
950: 3count | 4sum
951: 2count | 2sum
952: 3count | 5sum
953: 1count | 1sum
954: 3count | 4sum
955: 2count | 2sum
956: 2count | 3sum
957: 3count | 3sum
958: 2count | 2sum
959: 2count | 2sum
960: 3count | 8sum
961: 1count | 2sum
962: 3count | 3sum
963: 2count | 3sum
964: 2count | 3sum
965: 2count | 2sum
966: 4count | 4sum
967: 1count | 1sum
968: 2count | 5sum
969: 3count | 3sum
970: 3count | 3sum
971: 1count | 1sum
972: 2count | 7sum
973: 2count | 2sum
974: 2count | 2sum
975: 3count | 4sum
976: 2count | 5sum
977: 1count | 1sum
978: 3count | 3sum
979: 2count | 2sum
980: 3count | 5sum
981: 2count | 3sum
982: 2count | 2sum
983: 1count | 1sum
984: 3count | 5sum
985: 2count | 2sum
986: 3count | 3sum
987: 3count | 3sum
988: 3count | 4sum
