14629: 1uniques | 1count | 0sum
14630: 5uniques | 5count | 44sum
14631: 2uniques | 2count | 4880sum
14632: 3uniques | 5count | 96sum
14633: 1uniques | 1count | 0sum
14634: 3uniques | 5count | 282sum
14635: 2uniques | 2count | 2932sum
14636: 2uniques | 3count | 3663sum
14637: 4uniques | 4count | 68sum
14638: 3uniques | 3count | 578sum
14639: 1uniques | 1count | 0sum
14640: 4uniques | 7count | 77sum
14641: 1uniques | 4count | 44sum
14642: 2uniques | 2count | 7323sum
14643: 2uniques | 3count | 1633sum
14644: 3uniques | 4count | 534sum
14645: 3uniques | 3count | 135sum
14646: 3uniques | 3count | 2446sum
14647: 2uniques | 2count | 248sum
14648: 2uniques | 4count | 1837sum
14649: 3uniques | 3count | 279sum
14650: 3uniques | 4count | 305sum
14651: 3uniques | 4count | 50sum
14652: 4uniques | 6count | 58sum
14653: 1uniques | 1count | 0sum
14654: 3uniques | 3count | 450sum
14655: 3uniques | 3count | 985sum
14656: 2uniques | 7count | 241sum
14657: 1uniques | 1count | 0sum
14658: 4uniques | 4count | 361sum
14659: 2uniques | 2count | 244sum
14660: 3uniques | 4count | 742sum
14661: 2uniques | 5count | 193sum
14662: 2uniques | 2count | 7333sum
14663: 3uniques | 3count | 85sum
14664: 4uniques | 6count | 69sum
14665: 3uniques | 3count | 431sum
14666: 2uniques | 2count | 7335sum
14667: 2uniques | 2count | 4892sum
14668: 3uniques | 4count | 216sum
14669: 1uniques | 1count | 0sum
14670: 4uniques | 5count | 176sum
14671: 2uniques | 2count | 880sum
14672: 3uniques | 6count | 146sum
14673: 3uniques | 3count | 143sum
14674: 4uniques | 4count | 65sum
14675: 2uniques | 3count | 597sum
14676: 3uniques | 4count | 1230sum
14677: 2uniques | 2count | 1142sum
14678: 3uniques | 3count | 222sum
14679: 3uniques | 4count | 246sum
14680: 3uniques | 5count | 378sum
14681: 2uniques | 2count | 330sum
14682: 3uniques | 3count | 2452sum
14683: 1uniques | 1count | 0sum
14684: 2uniques | 3count | 3675sum
14685: 4uniques | 4count | 108sum
14686: 3uniques | 3count | 1058sum
14687: 2uniques | 2count | 792sum
14688: 3uniques | 9count | 36sum
14689: 2uniques | 2count | 434sum
14690: 4uniques | 4count | 133sum
14691: 3uniques | 3count | 145sum
14692: 2uniques | 3count | 3677sum
14693: 2uniques | 2count | 2106sum
14694: 4uniques | 4count | 115sum
14695: 2uniques | 2count | 2944sum
14696: 3uniques | 5count | 184sum
14697: 3uniques | 4count | 100sum
14698: 2uniques | 2count | 7351sum
14699: 1uniques | 1count | 0sum
14700: 4uniques | 7count | 31sum
14701: 2uniques | 2count | 302sum
14702: 2uniques | 2count | 7353sum
14703: 3uniques | 4count | 58sum
14704: 2uniques | 5count | 927sum
14705: 3uniques | 3count | 195sum
14706: 4uniques | 5count | 70sum
14707: 3uniques | 3count | 209sum
14708: 2uniques | 3count | 3681sum
14709: 2uniques | 2count | 4906sum
14710: 3uniques | 3count | 1478sum
14711: 2uniques | 2count | 360sum
14712: 3uniques | 5count | 622sum
14713: 1uniques | 1count | 0sum
14714: 3uniques | 3count | 1060sum
14715: 3uniques | 5count | 123sum
14716: 3uniques | 4count | 300sum
14717: 1uniques | 1count | 0sum
14718: 4uniques | 4count | 239sum
14719: 2uniques | 2count | 400sum
14720: 3uniques | 9count | 42sum
14721: 3uniques | 3count | 711sum
14722: 3uniques | 3count | 452sum
14723: 1uniques | 1count | 0sum
14724: 3uniques | 5count | 419sum
14725: 3uniques | 4count | 60sum
14726: 3uniques | 3count | 238sum
14727: 2uniques | 2count | 4912sum
14728: 3uniques | 5count | 276sum
14729: 3uniques | 3count | 127sum
14730: 4uniques | 4count | 501sum
14731: 1uniques | 1count | 0sum
14732: 3uniques | 4count | 160sum
14733: 2uniques | 3count | 1643sum
14734: 3uniques | 3count | 194sum
14735: 3uniques | 3count | 433sum
14736: 3uniques | 6count | 318sum
14737: 1uniques | 1count | 0sum
14738: 2uniques | 2count | 7371sum
14739: 2uniques | 4count | 54sum
14740: 4uniques | 5count | 87sum
14741: 1uniques | 1count | 0sum
14742: 4uniques | 7count | 34sum
14743: 2uniques | 2count | 664sum
14744: 3uniques | 5count | 122sum
14745: 3uniques | 3count | 991sum
14746: 3uniques | 3count | 176sum
14747: 1uniques | 1count | 0sum
14748: 3uniques | 4count | 1236sum
14749: 2uniques | 4count | 64sum
14750: 3uniques | 5count | 76sum
